n,c_rate_range,scanning_type,mission_duration,assertiveness
2,0–0.5,ZIGZAG_LMAT,893.7849002848405,89.25167785234899
2,0.51–1,ZIGZAG_LMAT,1315.2847115379277,86.14423076923077
2,1.01-2,ZIGZAG_LMAT,1203.1099082564617,85.8302752293578
2,>2.01,ZIGZAG_LMAT,1036.3636363637124,89.81818181818181
4,0–0.5,ZIGZAG_LMAT,707.4284791033573,87.97219334719335
4,0.51–1,ZIGZAG_LMAT,1110.7412468476086,88.64237668161435
4,1.01-2,ZIGZAG_LMAT,1270.3596949141763,87.98724489795919
4,>2.01,ZIGZAG_LMAT,1300.0031120238305,90.01851851851852
8,0–0.5,ZIGZAG_LMAT,684.0291950146656,89.79645476772616
8,0.51–1,ZIGZAG_LMAT,1039.8019027161656,89.2090909090909
8,1.01-2,ZIGZAG_LMAT,1132.673745064106,90.98664122137404
8,>2.01,ZIGZAG_LMAT,1325.003470214926,86.41666666666667
16,0–0.5,ZIGZAG_LMAT,518.4919856576563,93.29714285714286
16,0.51–1,ZIGZAG_LMAT,1008.1917765835868,90.3415948275862
16,1.01-2,ZIGZAG_LMAT,1191.7626418212797,88.21542553191489
16,>2.01,ZIGZAG_LMAT,1166.9830941748628,89.84615384615384
32,0–0.5,ZIGZAG_LMAT,465.85218230687457,94.64542143600416
32,0.51–1,ZIGZAG_LMAT,923.3732984476887,89.14925373134328
32,1.01-2,ZIGZAG_LMAT,919.7518351858074,93.12222222222222
32,>2.01,ZIGZAG_LMAT,1275.0026953985032,92.95
64,0–0.5,ZIGZAG_LMAT,489.9405929042872,94.68540145985402
64,0.51–1,ZIGZAG_LMAT,1024.1058607034565,92.20901639344262
64,1.01-2,ZIGZAG_LMAT,932.447426290448,91.52118644067797
64,>2.01,ZIGZAG_LMAT,1303.8482543329867,88.6923076923077
