c_rate_range,comparison,d_assertiveness,d_mission_duration
"(-inf, 0.5]",2 vs 4,-0.3546830474114153,0.2999859302416972
"(-inf, 0.5]",2 vs 8,-1.0736777171925211,0.537492077003219
"(-inf, 0.5]",2 vs 16,-1.6269836207386272,0.699760709455531
"(-inf, 0.5]",2 vs 32,-2.4960339272044187,1.285279983663094
"(-inf, 0.5]",2 vs 64,-2.6652913835884378,2.159309866347326
"(-inf, 0.5]",4 vs 8,-0.6618387284429815,0.2624710563568756
"(-inf, 0.5]",4 vs 16,-1.1204778081146147,0.4511790368803545
"(-inf, 0.5]",4 vs 32,-1.7417063927137395,1.0562988635969697
"(-inf, 0.5]",4 vs 64,-1.8546154980712637,1.8840142577219354
"(-inf, 0.5]",8 vs 16,-0.3675735902133103,0.20405899664207477
"(-inf, 0.5]",8 vs 32,-0.954620632295427,0.7899317816948613
"(-inf, 0.5]",8 vs 64,-1.133408483098915,1.5110142049199924
"(-inf, 0.5]",16 vs 32,-0.5812274876849957,0.5798284802911623
"(-inf, 0.5]",16 vs 64,-0.806085064405961,1.2118928076951143
"(-inf, 0.5]",32 vs 64,-0.3601087901739457,0.582802174525335
"(1.0, 2.0]",2 vs 4,-1.127680633442989,-0.04203741028407167
"(1.0, 2.0]",2 vs 8,-2.6362963060444624,0.031440509318691676
"(1.0, 2.0]",2 vs 16,-4.358750542422354,0.23271048572844052
"(1.0, 2.0]",2 vs 32,-4.1957737201736105,0.9278469303968632
"(1.0, 2.0]",2 vs 64,-3.6248175635477793,1.4073291045051914
"(1.0, 2.0]",4 vs 8,-1.119726934584083,0.0720308341360905
"(1.0, 2.0]",4 vs 16,-2.216297937306536,0.2739516247472421
"(1.0, 2.0]",4 vs 32,-2.192569499879993,0.9640563281405844
"(1.0, 2.0]",4 vs 64,-1.9256919839979094,1.4393861514743882
"(1.0, 2.0]",8 vs 16,-0.9916978962516043,0.19649608108783004
"(1.0, 2.0]",8 vs 32,-1.4479736858422183,0.8682611102989207
"(1.0, 2.0]",8 vs 64,-1.3649878649659686,1.3137865928992176
"(1.0, 2.0]",16 vs 32,-0.6992761112399347,0.719294250950605
"(1.0, 2.0]",16 vs 64,-0.8705208518346267,1.226788758104399
"(1.0, 2.0]",32 vs 64,-0.39028503911376794,0.45599347273897073
"(2.0, inf]",2 vs 4,-2.2090562167218835,-0.038821294529888584
"(2.0, inf]",2 vs 8,-3.8923231675367744,-0.11791401982582576
"(2.0, inf]",2 vs 16,-6.843286988974052,0.27176781438076364
"(2.0, inf]",2 vs 32,-5.268531819073968,0.5448475574624412
"(2.0, inf]",2 vs 64,-4.167833935678374,1.3717342812306934
"(2.0, inf]",4 vs 8,-1.3925340359273561,-0.07847723371175422
"(2.0, inf]",4 vs 16,-3.320830026521721,0.3145210380529292
"(2.0, inf]",4 vs 32,-2.6569048141213076,0.5827533885864221
"(2.0, inf]",4 vs 64,-2.0766737577765344,1.4085268706789835
"(2.0, inf]",8 vs 16,-2.082076134445686,0.40924750964953055
"(2.0, inf]",8 vs 32,-1.9186163679968038,0.6676622779576667
"(2.0, inf]",8 vs 64,-1.369424426974723,1.5139375697399333
"(2.0, inf]",16 vs 32,-0.37367417136228,0.3508669144266136
"(2.0, inf]",16 vs 64,-0.04534509674400484,1.3503708655377737
"(2.0, inf]",32 vs 64,0.291148343349853,0.8054658121978621
"(0.5, 1.0]",2 vs 4,-0.47014024075461064,0.0427310427718878
"(0.5, 1.0]",2 vs 8,-1.8282873488675948,0.16614573882194358
"(0.5, 1.0]",2 vs 16,-3.2401532176411436,0.2805121748477075
"(0.5, 1.0]",2 vs 32,-4.0537938934610915,0.47933115950420035
"(0.5, 1.0]",2 vs 64,-3.981057898329695,1.1047299308178866
"(0.5, 1.0]",4 vs 8,-1.414784231727238,0.12187786476914488
"(0.5, 1.0]",4 vs 16,-2.7812140644545176,0.23921611841757578
"(0.5, 1.0]",4 vs 32,-3.6915172516176984,0.43940148145667046
"(0.5, 1.0]",4 vs 64,-3.7444306060485473,1.0512532969182053
"(0.5, 1.0]",8 vs 16,-1.2587149422444412,0.12319750830083866
"(0.5, 1.0]",8 vs 32,-2.140460513150369,0.3273025203170664
"(0.5, 1.0]",8 vs 64,-2.3527759900218763,0.9303445652467127
"(0.5, 1.0]",16 vs 32,-0.7334754918886831,0.21097679216858942
"(0.5, 1.0]",16 vs 64,-1.0894537898515468,0.7826654368864869
"(0.5, 1.0]",32 vs 64,-0.620544559904833,0.5050049842998505
