n,c_rate_range,scanning_type,mission_duration,assertiveness
2,0–0.5,ZIGZAG_LMAT,1321.3411397889047,41.91162420382165
2,0.51–1,ZIGZAG_LMAT,1308.0033482296049,27.626
2,1.01-2,ZIGZAG_LMAT,1299.0325171765246,37.1747572815534
2,>2.01,ZIGZAG_LMAT,1317.3947826082194,35.69565217391305
4,0–0.5,ZIGZAG_LMAT,1305.214528978129,58.62323943661972
4,0.51–1,ZIGZAG_LMAT,1312.1985393484053,41.09552845528455
4,1.01-2,ZIGZAG_LMAT,1314.7094598271606,59.713235294117645
4,>2.01,ZIGZAG_LMAT,1317.8610714280396,59.42857142857143
8,0–0.5,ZIGZAG_LMAT,1302.38703169775,70.96518193224593
8,0.51–1,ZIGZAG_LMAT,1290.8480003067775,59.90845070422535
8,1.01-2,ZIGZAG_LMAT,1279.3418541381943,74.04752066115702
8,>2.01,ZIGZAG_LMAT,1268.5744531809917,75.82857142857142
16,0–0.5,ZIGZAG_LMAT,1304.555834828183,84.48178807947019
16,0.51–1,ZIGZAG_LMAT,1300.5809616688073,81.9306358381503
16,1.01-2,ZIGZAG_LMAT,1303.2030056681172,91.658
16,>2.01,ZIGZAG_LMAT,1300.00296374988,93.06666666666666
32,0–0.5,ZIGZAG_LMAT,1299.9000542447666,89.59298155737704
32,0.51–1,ZIGZAG_LMAT,1300.0026677098765,84.43650793650794
32,1.01-2,ZIGZAG_LMAT,1300.0025595714249,93.20679012345678
32,>2.01,ZIGZAG_LMAT,1300.0026239107503,97.98148148148148
64,0–0.5,ZIGZAG_LMAT,1299.1343571185646,93.80816246056783
64,0.51–1,ZIGZAG_LMAT,1300.001813642649,94.86442786069652
64,1.01-2,ZIGZAG_LMAT,1297.7548675074588,97.60252808988764
64,>2.01,ZIGZAG_LMAT,1301.8880811340182,97.50943396226415
