#PROJECT_NAME= MUDE
#TRANSMISSION_RANGE= 20
#N= 32
#K= 16
#T= 900
#K_GROUP= 1
#AREA= 300
#V_UAV= 10
#V_SENSOR= 5
#SIMULATION_START_TIME= 0
#SIMULATION_FINISH_TIME= 900.0000000001361
#SIMULATION_SPEED= 900.0000000001361
#SCANNING_TYPE= ScanningType.ZIGZAG_LMAT
id,initial_time,final_time,sensor_speed,sensors_found,sensor_list,sensor_detection,change_route,messages_total,messages_received,messages_sent,messages_consensus,message_request,message_response,message_ping,message_group_sensor_detection,message_sensor_detection_ack,message_sensor_detection_nack,message_route_change,message_route_change_ack,message_route_change_nack,message_route_change_decided
1,0,900.0000000001361,900.0000000001361,14,"[33, 39, 35, 36, 40, 41, 44, 46, 43, 42, 47, 37, 45, 48]",0,0,27528,23674,3854,0,0,21655,5873,0,0,0,0,0,0,0,0
2,0,900.0000000001361,900.0000000001361,14,"[33, 39, 35, 36, 40, 41, 44, 46, 43, 42, 47, 37, 45, 48]",0,0,26254,21174,5080,10,0,19331,6903,0,6,3,0,9,2,0,0
3,0,900.0000000001361,900.0000000001361,14,"[33, 39, 35, 36, 40, 41, 44, 46, 43, 42, 47, 37, 45, 48]",0,0,21970,18842,3128,2,0,17536,4430,0,2,1,0,1,0,0,0
4,0,900.0000000001361,900.0000000001361,14,"[33, 39, 35, 36, 40, 41, 44, 46, 43, 42, 47, 37, 45, 48]",0,0,15047,12496,2551,0,0,11769,3278,0,0,0,0,0,0,0,0
5,0,900.0000000001361,900.0000000001361,14,"[33, 39, 35, 36, 40, 41, 44, 46, 43, 42, 47, 37, 45, 48]",0,0,17390,14348,3042,0,0,13118,4272,0,0,0,0,0,0,0,0
6,0,900.0000000001361,900.0000000001361,14,"[33, 39, 35, 36, 40, 41, 44, 46, 43, 42, 47, 37, 45, 48]",0,0,25153,20850,4303,0,0,18329,6824,0,0,0,0,0,0,0,0
7,0,900.0000000001361,900.0000000001361,14,"[33, 39, 35, 36, 40, 41, 44, 46, 43, 42, 47, 37, 45, 48]",0,0,19995,17160,2835,0,0,16157,3838,0,0,0,0,0,0,0,0
8,0,900.0000000001361,900.0000000001361,14,"[33, 39, 35, 36, 40, 41, 44, 46, 43, 42, 47, 37, 45, 48]",0,0,22351,19300,3051,0,0,18008,4343,0,0,0,0,0,0,0,0
9,0,900.0000000001361,900.0000000001361,14,"[33, 39, 35, 36, 40, 41, 44, 46, 43, 42, 47, 37, 45, 48]",0,0,14381,11928,2453,0,0,11287,3094,0,0,0,0,0,0,0,0
10,0,900.0000000001361,900.0000000001361,14,"[33, 39, 35, 36, 40, 41, 44, 46, 43, 42, 47, 37, 45, 48]",84,0,28202,23620,4582,0,0,20766,7436,0,0,0,0,0,0,0,0
