#PROJECT_NAME= MUDE
#TRANSMISSION_RANGE= 20
#N= 32
#K= 16
#T= 900
#K_GROUP= 1
#AREA= 300
#V_UAV= 10
#V_SENSOR= 5
#SIMULATION_START_TIME= 0
#SIMULATION_FINISH_TIME= 900.0000000001361
#SIMULATION_SPEED= 900.0000000001361
#SCANNING_TYPE= ScanningType.ZIGZAG_LMAT
id,initial_time,final_time,sensor_speed,sensors_found,sensor_list,sensor_detection,change_route,messages_total,messages_received,messages_sent,messages_consensus,message_request,message_response,message_ping,message_group_sensor_detection,message_sensor_detection_ack,message_sensor_detection_nack,message_route_change,message_route_change_ack,message_route_change_nack,message_route_change_decided
1,0,900.0000000001361,900.0000000001361,11,"[33, 35, 46, 36, 40, 43, 42, 45, 38, 44, 37]",2,1,45392,27902,17489,17,0,26056,19308,0,12,4,1,6,4,0,0
2,0,900.0000000001361,900.0000000001361,11,"[33, 35, 46, 36, 40, 43, 42, 45, 38, 44, 37]",0,0,16829,14134,2695,0,0,13210,3619,0,0,0,0,0,0,0,0
3,0,900.0000000001361,900.0000000001361,11,"[33, 35, 46, 36, 40, 43, 42, 45, 38, 44, 37]",0,0,16023,13320,2703,0,0,12389,3634,0,0,0,0,0,0,0,0
4,0,900.0000000001361,900.0000000001361,11,"[33, 35, 46, 36, 40, 43, 42, 45, 38, 44, 37]",42,0,20583,17754,2829,0,0,16679,3904,0,0,0,0,0,0,0,0
5,0,900.0000000001361,900.0000000001361,11,"[33, 35, 46, 36, 40, 43, 42, 45, 38, 44, 37]",5,1,19772,14221,5550,6,0,13245,6520,0,6,0,0,0,0,0,0
6,0,900.0000000001361,900.0000000001361,11,"[33, 35, 46, 36, 40, 43, 42, 45, 38, 44, 37]",0,0,23434,19854,3580,0,0,18103,5331,0,0,0,0,0,0,0,0
7,0,900.0000000001361,900.0000000001361,11,"[33, 35, 46, 36, 40, 43, 42, 45, 38, 44, 37]",0,0,14183,11776,2407,0,0,11183,3000,0,0,0,0,0,0,0,0
8,0,900.0000000001361,900.0000000001361,11,"[33, 35, 46, 36, 40, 43, 42, 45, 38, 44, 37]",0,0,22098,19016,3082,0,0,17733,4365,0,0,0,0,0,0,0,0
9,0,900.0000000001361,900.0000000001361,11,"[33, 35, 46, 36, 40, 43, 42, 45, 38, 44, 37]",0,0,17996,15250,2746,0,0,14315,3681,0,0,0,0,0,0,0,0
10,0,900.0000000001361,900.0000000001361,11,"[33, 35, 46, 36, 40, 43, 42, 45, 38, 44, 37]",59,1,29886,22168,7717,5,0,20565,9313,0,4,0,3,0,0,0,0
11,0,900.0000000001361,900.0000000001361,11,"[33, 35, 46, 36, 40, 43, 42, 45, 38, 44, 37]",0,0,14247,11132,3115,0,0,9806,4441,0,0,0,0,0,0,0,0
12,0,900.0000000001361,900.0000000001361,11,"[33, 35, 46, 36, 40, 43, 42, 45, 38, 44, 37]",0,0,19327,16462,2865,0,0,15402,3925,0,0,0,0,0,0,0,0
13,0,900.0000000001361,900.0000000001361,11,"[33, 35, 46, 36, 40, 43, 42, 45, 38, 44, 37]",1,0,17773,15047,2726,0,0,14108,3665,0,0,0,0,0,0,0,0
14,0,900.0000000001361,900.0000000001361,11,"[33, 35, 46, 36, 40, 43, 42, 45, 38, 44, 37]",0,0,17766,15102,2664,0,0,14270,3496,0,0,0,0,0,0,0,0
15,0,900.0000000001361,900.0000000001361,11,"[33, 35, 46, 36, 40, 43, 42, 45, 38, 44, 37]",34,1,25193,17224,7968,6,0,16060,9122,0,4,3,0,0,3,0,0
16,0,900.0000000001361,900.0000000001361,11,"[33, 35, 46, 36, 40, 43, 42, 45, 38, 44, 37]",2,0,33314,22965,10349,14,0,21503,11787,0,8,7,0,5,4,0,0
17,0,900.0000000001361,900.0000000001361,11,"[33, 35, 46, 36, 40, 43, 42, 45, 38, 44, 37]",0,0,16940,14282,2658,0,0,13476,3464,0,0,0,0,0,0,0,0
18,0,900.0000000001361,900.0000000001361,11,"[33, 35, 46, 36, 40, 43, 42, 45, 38, 44, 37]",57,0,16865,14249,2616,0,0,13386,3479,0,0,0,0,0,0,0,0
19,0,900.0000000001361,900.0000000001361,11,"[33, 35, 46, 36, 40, 43, 42, 45, 38, 44, 37]",0,0,16335,13552,2783,0,0,12587,3748,0,0,0,0,0,0,0,0
