#PROJECT_NAME= MUDE
#TRANSMISSION_RANGE= 20
#N= 32
#K= 16
#T= 900
#K_GROUP= 1
#AREA= 300
#V_UAV= 10
#V_SENSOR= 5
#SIMULATION_START_TIME= 0
#SIMULATION_FINISH_TIME= 900.0000000001361
#SIMULATION_SPEED= 900.0000000001361
#SCANNING_TYPE= ScanningType.ZIGZAG_LMAT
id,initial_time,final_time,sensor_speed,sensors_found,sensor_list,sensor_detection,change_route,messages_total,messages_received,messages_sent,messages_consensus,message_request,message_response,message_ping,message_group_sensor_detection,message_sensor_detection_ack,message_sensor_detection_nack,message_route_change,message_route_change_ack,message_route_change_nack,message_route_change_decided
1,0,900.0000000001361,900.0000000001361,13,"[33, 34, 41, 36, 48, 45, 46, 40, 39, 47, 42, 37, 35]",46,0,27876,23836,4040,0,0,21562,6314,0,0,0,0,0,0,0,0
2,0,900.0000000001361,900.0000000001361,13,"[33, 34, 41, 36, 48, 45, 46, 40, 39, 47, 42, 37, 35]",129,1,41175,29546,11628,26,0,26861,14269,0,11,18,0,6,6,3,0
3,0,900.0000000001361,900.0000000001361,13,"[33, 34, 41, 36, 48, 45, 46, 40, 39, 47, 42, 37, 35]",0,0,14191,11758,2433,0,0,11132,3059,0,0,0,0,0,0,0,0
4,0,900.0000000001361,900.0000000001361,13,"[33, 34, 41, 36, 48, 45, 46, 40, 39, 47, 42, 37, 35]",0,0,18612,15440,3172,0,0,14050,4562,0,0,0,0,0,0,0,0
5,0,900.0000000001361,900.0000000001361,13,"[33, 34, 41, 36, 48, 45, 46, 40, 39, 47, 42, 37, 35]",0,0,24273,20848,3425,0,0,19194,5079,0,0,0,0,0,0,0,0
6,0,900.0000000001361,900.0000000001361,13,"[33, 34, 41, 36, 48, 45, 46, 40, 39, 47, 42, 37, 35]",11,0,29715,24761,4954,14,0,22139,7548,0,10,5,0,11,2,0,0
7,0,900.0000000001361,900.0000000001361,13,"[33, 34, 41, 36, 48, 45, 46, 40, 39, 47, 42, 37, 35]",51,1,24367,20685,3681,4,0,19334,5028,0,4,0,0,0,0,0,0
8,0,900.0000000001361,900.0000000001361,13,"[33, 34, 41, 36, 48, 45, 46, 40, 39, 47, 42, 37, 35]",0,0,16323,13870,2453,0,0,13210,3113,0,0,0,0,0,0,0,0
9,0,900.0000000001361,900.0000000001361,13,"[33, 34, 41, 36, 48, 45, 46, 40, 39, 47, 42, 37, 35]",0,0,18723,16058,2665,0,0,15190,3533,0,0,0,0,0,0,0,0
10,0,900.0000000001361,900.0000000001361,13,"[33, 34, 41, 36, 48, 45, 46, 40, 39, 47, 42, 37, 35]",94,0,17376,14770,2606,0,0,13887,3489,0,0,0,0,0,0,0,0
11,0,900.0000000001361,900.0000000001361,13,"[33, 34, 41, 36, 48, 45, 46, 40, 39, 47, 42, 37, 35]",0,0,15645,13236,2409,0,0,12609,3036,0,0,0,0,0,0,0,0
12,0,900.0000000001361,900.0000000001361,13,"[33, 34, 41, 36, 48, 45, 46, 40, 39, 47, 42, 37, 35]",2,1,28288,19712,8575,10,0,18367,9902,0,6,1,6,4,1,0,0
13,0,900.0000000001361,900.0000000001361,13,"[33, 34, 41, 36, 48, 45, 46, 40, 39, 47, 42, 37, 35]",11,1,44939,27732,17206,32,0,26289,18597,0,19,22,0,5,6,0,0
14,0,900.0000000001361,900.0000000001361,13,"[33, 34, 41, 36, 48, 45, 46, 40, 39, 47, 42, 37, 35]",0,0,15295,12750,2545,0,0,12028,3267,0,0,0,0,0,0,0,0
15,0,900.0000000001361,900.0000000001361,13,"[33, 34, 41, 36, 48, 45, 46, 40, 39, 47, 42, 37, 35]",1,1,29149,19474,9674,9,0,18178,10955,0,8,5,0,2,0,0,0
16,0,900.0000000001361,900.0000000001361,13,"[33, 34, 41, 36, 48, 45, 46, 40, 39, 47, 42, 37, 35]",27,0,24467,21161,3306,2,0,19624,4839,0,2,1,0,1,0,0,0
17,0,900.0000000001361,900.0000000001361,13,"[33, 34, 41, 36, 48, 45, 46, 40, 39, 47, 42, 37, 35]",0,0,15045,12610,2435,0,0,11922,3123,0,0,0,0,0,0,0,0
18,0,900.0000000001361,900.0000000001361,13,"[33, 34, 41, 36, 48, 45, 46, 40, 39, 47, 42, 37, 35]",0,0,15690,13054,2636,0,0,12272,3418,0,0,0,0,0,0,0,0
19,0,900.0000000001361,900.0000000001361,13,"[33, 34, 41, 36, 48, 45, 46, 40, 39, 47, 42, 37, 35]",0,0,23229,20262,2967,0,0,19107,4122,0,0,0,0,0,0,0,0
20,0,900.0000000001361,900.0000000001361,13,"[33, 34, 41, 36, 48, 45, 46, 40, 39, 47, 42, 37, 35]",173,1,37371,26002,11368,13,0,23868,13479,0,10,3,2,4,3,1,0
21,0,900.0000000001361,900.0000000001361,13,"[33, 34, 41, 36, 48, 45, 46, 40, 39, 47, 42, 37, 35]",1,1,26248,17006,9241,11,0,15432,10796,0,8,2,0,5,1,3,0
22,0,900.0000000001361,900.0000000001361,13,"[33, 34, 41, 36, 48, 45, 46, 40, 39, 47, 42, 37, 35]",50,0,22871,19068,3803,0,0,17005,5866,0,0,0,0,0,0,0,0
23,0,900.0000000001361,900.0000000001361,13,"[33, 34, 41, 36, 48, 45, 46, 40, 39, 47, 42, 37, 35]",37,0,22159,18775,3384,0,0,17143,5016,0,0,0,0,0,0,0,0
24,0,900.0000000001361,900.0000000001361,13,"[33, 34, 41, 36, 48, 45, 46, 40, 39, 47, 42, 37, 35]",2,0,20420,17574,2846,0,0,16565,3855,0,0,0,0,0,0,0,0
25,0,900.0000000001361,900.0000000001361,13,"[33, 34, 41, 36, 48, 45, 46, 40, 39, 47, 42, 37, 35]",0,0,13874,10792,3082,0,0,9502,4372,0,0,0,0,0,0,0,0
26,0,900.0000000001361,900.0000000001361,13,"[33, 34, 41, 36, 48, 45, 46, 40, 39, 47, 42, 37, 35]",0,0,19597,16936,2661,0,0,16032,3565,0,0,0,0,0,0,0,0
27,0,900.0000000001361,900.0000000001361,13,"[33, 34, 41, 36, 48, 45, 46, 40, 39, 47, 42, 37, 35]",0,0,16650,13890,2760,0,0,12931,3719,0,0,0,0,0,0,0,0
28,0,900.0000000001361,900.0000000001361,13,"[33, 34, 41, 36, 48, 45, 46, 40, 39, 47, 42, 37, 35]",2,0,21410,18628,2782,0,0,17668,3742,0,0,0,0,0,0,0,0
29,0,900.0000000001361,900.0000000001361,13,"[33, 34, 41, 36, 48, 45, 46, 40, 39, 47, 42, 37, 35]",21,0,14660,12285,2375,0,0,11715,2945,0,0,0,0,0,0,0,0
30,0,900.0000000001361,900.0000000001361,13,"[33, 34, 41, 36, 48, 45, 46, 40, 39, 47, 42, 37, 35]",0,0,13926,11598,2328,0,0,11094,2832,0,0,0,0,0,0,0,0
31,0,900.0000000001361,900.0000000001361,13,"[33, 34, 41, 36, 48, 45, 46, 40, 39, 47, 42, 37, 35]",44,0,24526,21108,3418,0,0,19457,5069,0,0,0,0,0,0,0,0
