#PROJECT_NAME= MUDE
#TRANSMISSION_RANGE= 20
#N= 32
#K= 8
#T= 900
#K_GROUP= 1
#AREA= 300
#V_UAV= 10
#V_SENSOR= 5
#SIMULATION_START_TIME= 0
#SIMULATION_FINISH_TIME= 900.0000000001361
#SIMULATION_SPEED= 900.0000000001361
#SCANNING_TYPE= ScanningType.ZIGZAG_LMAT
id,initial_time,final_time,sensor_speed,sensors_found,sensor_list,sensor_detection,change_route,messages_total,messages_received,messages_sent,messages_consensus,message_request,message_response,message_ping,message_group_sensor_detection,message_sensor_detection_ack,message_sensor_detection_nack,message_route_change,message_route_change_ack,message_route_change_nack,message_route_change_decided
1,0,900.0000000001361,900.0000000001361,5,"[33, 38, 35, 34, 40]",0,0,20881,17800,3081,0,0,16535,4346,0,0,0,0,0,0,0,0
2,0,900.0000000001361,900.0000000001361,5,"[33, 38, 35, 34, 40]",95,0,59801,44234,15567,45,0,39013,20669,0,12,39,6,21,41,0,0
3,0,900.0000000001361,900.0000000001361,5,"[33, 38, 35, 34, 40]",0,0,20889,17855,3034,9,0,16601,4259,0,0,9,2,0,15,3,0
4,0,900.0000000001361,900.0000000001361,5,"[33, 38, 35, 34, 40]",0,0,15753,13294,2459,0,0,12606,3147,0,0,0,0,0,0,0,0
5,0,900.0000000001361,900.0000000001361,5,"[33, 38, 35, 34, 40]",0,0,15476,12870,2606,0,0,12081,3395,0,0,0,0,0,0,0,0
6,0,900.0000000001361,900.0000000001361,5,"[33, 38, 35, 34, 40]",0,0,22515,19243,3272,1,0,17764,4748,0,0,3,0,0,0,0,0
7,0,900.0000000001361,900.0000000001361,5,"[33, 38, 35, 34, 40]",0,0,23662,20342,3320,0,0,18817,4845,0,0,0,0,0,0,0,0
8,0,900.0000000001361,900.0000000001361,5,"[33, 38, 35, 34, 40]",0,0,13749,11350,2399,0,0,10787,2962,0,0,0,0,0,0,0,0
9,0,900.0000000001361,900.0000000001361,5,"[33, 38, 35, 34, 40]",20,0,22597,19412,3185,0,0,17991,4606,0,0,0,0,0,0,0,0
10,0,900.0000000001361,900.0000000001361,5,"[33, 38, 35, 34, 40]",0,0,14062,11714,2348,0,0,11170,2892,0,0,0,0,0,0,0,0
11,0,900.0000000001361,900.0000000001361,5,"[33, 38, 35, 34, 40]",0,0,14722,12144,2578,0,0,11424,3298,0,0,0,0,0,0,0,0
12,0,900.0000000001361,900.0000000001361,5,"[33, 38, 35, 34, 40]",0,0,54232,40019,14213,37,0,36096,18049,0,14,28,0,22,23,0,0
13,0,900.0000000001361,900.0000000001361,5,"[33, 38, 35, 34, 40]",14,0,53485,40054,13431,48,0,35519,17844,0,14,44,4,22,35,3,0
