#PROJECT_NAME= MUDE
#TRANSMISSION_RANGE= 20
#N= 64
#K= 8
#T= 1200
#K_GROUP= 1
#AREA= 200
#V_UAV= 10
#V_SENSOR= 5
#SIMULATION_START_TIME= 0
#SIMULATION_FINISH_TIME= 1200.000000000004
#SIMULATION_SPEED= 1200.000000000004
#SCANNING_TYPE= ScanningType.ZIGZAG_LMAT
id,initial_time,final_time,sensor_speed,sensors_found,sensor_list,sensor_detection,change_route,messages_total,messages_received,messages_sent,messages_consensus,message_request,message_response,message_ping,message_group_sensor_detection,message_sensor_detection_ack,message_sensor_detection_nack,message_route_change,message_route_change_ack,message_route_change_nack,message_route_change_decided
1,0,1200.000000000004,1200.000000000004,6,"[66, 65, 72, 68, 67, 69]",204,0,263012,234524,28488,50,0,219574,43298,0,6,30,6,18,44,36,0
2,0,1200.000000000004,1200.000000000004,6,"[66, 65, 72, 68, 67, 69]",91,0,105678,97949,7729,0,0,92550,13128,0,0,0,0,0,0,0,0
3,0,1200.000000000004,1200.000000000004,6,"[66, 65, 72, 68, 67, 69]",0,0,59458,54642,4816,0,0,52294,7164,0,0,0,0,0,0,0,0
4,0,1200.000000000004,1200.000000000004,6,"[66, 65, 72, 68, 67, 69]",0,0,297664,267702,29962,42,0,251619,45935,0,6,27,0,18,47,12,0
5,0,1200.000000000004,1200.000000000004,6,"[66, 65, 72, 68, 67, 69]",551,0,353624,319670,33954,128,0,301546,51692,0,11,74,30,25,75,171,0
6,0,1200.000000000004,1200.000000000004,6,"[66, 65, 72, 68, 67, 69]",0,0,141644,128462,13182,0,0,117677,23967,0,0,0,0,0,0,0,0
7,0,1200.000000000004,1200.000000000004,6,"[66, 65, 72, 68, 67, 69]",280,0,100689,93180,7509,0,0,87797,12892,0,0,0,0,0,0,0,0
8,0,1200.000000000004,1200.000000000004,6,"[66, 65, 72, 68, 67, 69]",667,0,390654,355500,35154,155,0,333924,56255,0,13,97,33,25,88,219,0
9,0,1200.000000000004,1200.000000000004,6,"[66, 65, 72, 68, 67, 69]",0,0,59937,55134,4803,0,0,52717,7220,0,0,0,0,0,0,0,0
10,0,1200.000000000004,1200.000000000004,6,"[66, 65, 72, 68, 67, 69]",0,0,99666,90264,9402,0,0,83267,16399,0,0,0,0,0,0,0,0
11,0,1200.000000000004,1200.000000000004,6,"[66, 65, 72, 68, 67, 69]",174,0,331589,301818,29771,54,0,285855,45588,0,6,36,0,18,62,24,0
12,0,1200.000000000004,1200.000000000004,6,"[66, 65, 72, 68, 67, 69]",107,0,82190,76447,5743,0,0,73024,9166,0,0,0,0,0,0,0,0
13,0,1200.000000000004,1200.000000000004,6,"[66, 65, 72, 68, 67, 69]",187,0,91629,85207,6422,0,0,80971,10658,0,0,0,0,0,0,0,0
14,0,1200.000000000004,1200.000000000004,6,"[66, 65, 72, 68, 67, 69]",350,0,294625,267584,27041,132,0,251633,42596,0,12,76,22,32,67,187,0
15,0,1200.000000000004,1200.000000000004,6,"[66, 65, 72, 68, 67, 69]",660,0,361759,329223,32536,155,0,307667,53627,0,14,89,24,37,82,219,0
16,0,1200.000000000004,1200.000000000004,6,"[66, 65, 72, 68, 67, 69]",61,0,84870,77653,7217,6,0,72796,12056,0,0,9,0,0,9,0,0
17,0,1200.000000000004,1200.000000000004,6,"[66, 65, 72, 68, 67, 69]",317,0,346168,317143,29025,128,0,299410,46374,0,12,70,22,32,73,175,0
18,0,1200.000000000004,1200.000000000004,6,"[66, 65, 72, 68, 67, 69]",42,0,115185,106020,9165,0,0,99242,15943,0,0,0,0,0,0,0,0
19,0,1200.000000000004,1200.000000000004,6,"[66, 65, 72, 68, 67, 69]",0,0,126640,114792,11848,22,0,105291,21283,0,0,6,0,4,33,23,0
20,0,1200.000000000004,1200.000000000004,6,"[66, 65, 72, 68, 67, 69]",44,0,78639,73284,5355,0,0,70260,8379,0,0,0,0,0,0,0,0
21,0,1200.000000000004,1200.000000000004,6,"[66, 65, 72, 68, 67, 69]",199,0,198817,179734,19083,51,0,167395,31261,0,6,29,19,11,29,67,0
22,0,1200.000000000004,1200.000000000004,6,"[66, 65, 72, 68, 67, 69]",599,0,336618,306662,29956,132,0,290207,46011,0,11,77,30,24,74,184,0
23,0,1200.000000000004,1200.000000000004,6,"[66, 65, 72, 68, 67, 69]",1,1,177083,145058,32024,66,0,138583,38319,0,4,51,0,5,81,39,0
24,0,1200.000000000004,1200.000000000004,6,"[66, 65, 72, 68, 67, 69]",0,0,152518,139016,13502,0,0,127969,24549,0,0,0,0,0,0,0,0
25,0,1200.000000000004,1200.000000000004,6,"[66, 65, 72, 68, 67, 69]",0,0,75775,69712,6063,0,0,66012,9763,0,0,0,0,0,0,0,0
26,0,1200.000000000004,1200.000000000004,6,"[66, 65, 72, 68, 67, 69]",0,0,107505,98987,8518,35,0,92738,14662,0,0,21,0,4,42,38,0
27,0,1200.000000000004,1200.000000000004,6,"[66, 65, 72, 68, 67, 69]",51,0,73943,68461,5482,0,0,65332,8611,0,0,0,0,0,0,0,0
28,0,1200.000000000004,1200.000000000004,6,"[66, 65, 72, 68, 67, 69]",0,0,105294,98010,7284,0,0,93112,12182,0,0,0,0,0,0,0,0
29,0,1200.000000000004,1200.000000000004,6,"[66, 65, 72, 68, 67, 69]",0,0,102808,94154,8654,0,0,87879,14929,0,0,0,0,0,0,0,0
30,0,1200.000000000004,1200.000000000004,6,"[66, 65, 72, 68, 67, 69]",110,0,81675,75294,6381,0,0,71226,10449,0,0,0,0,0,0,0,0
31,0,1200.000000000004,1200.000000000004,6,"[66, 65, 72, 68, 67, 69]",215,0,92832,86128,6704,23,0,81626,11137,0,0,21,0,0,24,24,0
32,0,1200.000000000004,1200.000000000004,6,"[66, 65, 72, 68, 67, 69]",0,0,93618,86290,7328,18,0,81324,12240,0,0,9,0,4,24,17,0
33,0,1200.000000000004,1200.000000000004,6,"[66, 65, 72, 68, 67, 69]",574,0,353124,325308,27816,130,0,306372,46360,0,12,73,22,31,72,182,0
34,0,1200.000000000004,1200.000000000004,6,"[66, 65, 72, 68, 67, 69]",109,0,101105,92838,8267,15,0,86870,14192,0,2,7,0,3,18,13,0
35,0,1200.000000000004,1200.000000000004,6,"[66, 65, 72, 68, 67, 69]",0,0,136087,124163,11924,3,0,114618,21460,0,0,3,0,0,3,3,0
36,0,1200.000000000004,1200.000000000004,6,"[66, 65, 72, 68, 67, 69]",0,0,137079,124250,12829,0,0,113832,23247,0,0,0,0,0,0,0,0
37,0,1200.000000000004,1200.000000000004,6,"[66, 65, 72, 68, 67, 69]",170,0,93403,86930,6473,0,0,82667,10736,0,0,0,0,0,0,0,0
38,0,1200.000000000004,1200.000000000004,6,"[66, 65, 72, 68, 67, 69]",90,0,259713,234122,25591,46,0,222371,37220,0,6,30,0,18,50,18,0
39,0,1200.000000000004,1200.000000000004,6,"[66, 65, 72, 68, 67, 69]",0,0,110052,100971,9081,29,0,94186,15779,0,0,15,0,4,39,29,0
40,0,1200.000000000004,1200.000000000004,6,"[66, 65, 72, 68, 67, 69]",80,0,72402,67092,5310,0,0,64077,8325,0,0,0,0,0,0,0,0
41,0,1200.000000000004,1200.000000000004,6,"[66, 65, 72, 68, 67, 69]",102,0,261445,233120,28325,156,0,216070,44907,0,14,92,24,37,88,213,0
